card_translate,base_card,abv_langue,type_card,name_card,attribut_card,family_card,sous_family_card,nature_card,Description pendule,description
ALIN-FR081,ALIN-081,FR,Monstre à effet,Ange de l'Aube Kambi,Lumière,Elfe,,Effet,,"Si vous ne contrôlez aucun monstre, ou si tous les monstres que vous contrôlez sont des monstres Elfe : vous pouvez Invoquer Spécialement cette carte depuis votre main. ""Malédiction de Diabell""Vous pouvez Sacrifier un nombre de votre choix de monstres Elfe (cette carte incluse) ; Invoquez Spécialement 1 monstre Elfe depuis votre Deck dont le Niveau est égal au Niveau total que ces monstres avaient sur le Terrain. Vous ne pouvez pas Invoquer Spécialement (monstres Elfe exclus) le tour où vous activez cet effet. Vous ne pouvez utiliser chaque effet de ""Ange de l'Aube Kambi"" qu'une fois par tour."
ALIN-FR082,ALIN-082,FR,Monstre à effet,Hrimnir la Disciple Divine,Lumière,Elfe,,Effet,,"Vous pouvez Sacrifier 3 monstres Elfe depuis votre main et/ou Terrain ; Posez 1 Magie Continue depuis votre Deck, mais envoyez-la au Cimetière durant la End Phase de votre adversaire. ""Malédiction de Diabell""Si cette carte est envoyée au Cimetière par un effet de carte : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Hrimnir la Disciple Divine"" qu'une fois par tour."
ALIN-FR083,ALIN-083,FR,Magie Continue,Bénédiction de Vingólf,,,,,,"Lorsque cette carte est activée : vous pouvez envoyer 1 monstre LUMIÈRE Elfe depuis votre Deck au Cimetière. Les monstres Elfe que vous contrôlez gagnent 100 ATK pour chaque monstre Elfe dans votre Terrain et Cimetière. ""Malédiction de Diabell""Si cette carte est envoyée au Cimetière : vous pouvez cibler 1 monstre Elfe de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser cet effet de ""Bénédiction de Vingólf"" qu'une fois par tour. Vous ne pouvez activer qu'1 ""Bénédiction de Vingólf"" par tour."
ALIN-FR084,ALIN-084,FR,Monstre à effet,Banc d'Aspis,Eau,Poisson,,Effet,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre Poisson de max. Niveau 6 depuis votre main en Position de Défense, mais bannissez-le lorsqu'il quitte le Terrain. ""Malédiction de Diabell""Si cette carte est bannie : vous pouvez Invoquer Spécialement cette carte en Position de Défense. Vous ne pouvez utiliser cet effet de ""Banc d'Aspis"" qu'une fois par tour."
ALIN-FR085,ALIN-085,FR,Monstre Synchronique,Poisson-Coffre Toxique,Eau,Poisson,,Effet,,"1 Syntoniseur + 1+ monstre non-Syntoniseur ""Malédiction de Diabell""Si cette carte est Invoquée par Synchronisation : vous pouvez cibler 1 carte dans l'un des Cimetières ; bannissez-la. Si cette carte est bannie : vous pouvez cibler 1 carte face recto contrôlée par votre adversaire ; jusqu'à la fin de ce tour, annulez ses effets. Vous ne pouvez utiliser chaque effet de ""Poisson-Coffre Toxique"" qu'une fois par tour."
ALIN-FR086,ALIN-086,FR,Magie,Poisson et Offres,,,,,,"Au début de votre Main Phase 1 : ""Malédiction de Diabell""bannissez 1 carte depuis votre main ; votre adversaire peut bannir 2 cartes depuis sa main, s'il ne le fait pas, vous appliquez cet effet. ●Prenez 2 monstres Poisson depuis votre Deck, et soit bannissez-les tous les deux soit envoyez-les tous les deux au Cimetière, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Poisson exclus) le reste de ce tour."
ALIN-FR087,ALIN-087,FR,Monstre à effet,Réplicarte NAD,Ténèbres,Cyberse,,Effet,,"Vous pouvez bannir 1 autre monstre de min. ""Regenèse""Niveau 7 depuis votre main ; Invoquez Spécialement cette carte depuis votre main. ""Malédiction de Diabell""Vous pouvez cibler 1 monstre face recto que vous contrôlez ; Invoquez Spécialement 1 monstre depuis votre Deck de nom différent qui a min. 2 mêmes Niveau, ATK et/ou DEF, mais il ne peut pas activer ses effets ce tour. Vous ne pouvez utiliser chaque effet de ""Réplicarte NAD"" qu'une fois par tour."
ALIN-FR088,ALIN-088,FR,Monstre XYZ,Sakra Vendirage,Ténèbres,Psychique,,Effet,,"2 monstres de Niveau 4 ""Malédiction de Diabell""Vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre Psychique de Niveau/Rang 4 (""Sakra Vendirage"" exclu) dans votre Cimetière ; Invoquez-le Spécialement. Si un ou plusieurs monstres sont Invoqués Spécialement, tant que cette carte est dans votre Zone Monstre (sauf durant la Damage Step) : vous pouvez cibler 1 autre monstre face recto sur le Terrain ; jusqu'à la End Phase, le nom du monstre devient ""Sakra Vendirage"". Vous ne pouvez utiliser chaque effet de ""Sakra Vendirage"" qu'une fois par tour."
ALIN-FR089,ALIN-089,FR,Piège Continu,Paix Tiki,,,,,,"Invoquez Spécialement cette carte comme Monstre à Effet (Rocher/TERRE/Niveau 4/ATK 1800/DEF 1800) avec l'effet suivant (cette carte est toujours aussi un Piège). ●""Regenèse""(Effet Rapide) : ""Malédiction de Diabell""vous pouvez payer 800 LP ; Invoquez Spécialement 1 Piège Continu (""Paix Tiki"" exclu) depuis votre Cimetière ou bannissement comme Monstre Normal (Rocher/TERRE/Niveau 4/ATK 1000/DEF 1000) et son nom devient ""Paix Tiki"" (même tant qu'il est face verso) (la carte N'EST PAS traitée comme Piège). Vous ne pouvez utiliser cet effet de ""Paix Tiki"" qu'une fois par tour."
ALIN-FR090,ALIN-090,FR,Monstre à effet,"Mitsurugi no Mikoto, Aramasa",Ténèbres,Reptile,,Effet,,"Si cette carte est Invoquée Normalement ou Spécialement, ou si cette carte est Sacrifiée : vous pouvez ajouter 1 monstre ""Malédiction de Diabell""""Mitsurugi"" (""Mitsurugi no Mikoto, Aramasa"" exclu) depuis votre Deck à votre main. Si un ou plusieurs autres monstres Reptile que vous contrôlez vont être détruits au combat ou par un effet de carte, vous pouvez Sacrifier cette carte à la place. Vous ne pouvez utiliser chaque effet de ""Mitsurugi no Mikoto, Aramasa"" qu'une fois par tour."
ALIN-FR091,ALIN-091,FR,Monstre à effet,"Mitsurugi no Miko, Wousu",Ténèbres,Reptile,,Effet,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 autre monstre Reptile depuis votre main et 1 monstre contrôlé par votre adversaire, mais vous ne pouvez ni Invoquer Spécialement (monstres Reptile exclus) ni activer d'effets de monstre (monstres Reptile exclus) le reste de ce tour. Vous ne pouvez Invoquer Spécialement ""Regenèse""""Mitsurugi no Miko, Wousu"" qu'une fois par tour de cette façon. Si cette carte est Sacrifiée : vous pouvez défausser 1 carte, et si vous le faites, ajoutez cette carte à votre main. Vous ne pouvez utiliser cet effet de ""Malédiction de Diabell""""Mitsurugi no Mikoto, Aramasa""""Mitsurugi no Miko, Wousu"" qu'une fois par tour."
ALIN-FR092,ALIN-092,FR,Monstre Rituel,Ame no Habakiri no Mitsurugi,Ténèbres,Reptile,,Effet,,"Vous pouvez Invoquer Rituellement cette carte avec ""Regenèse""""Rituel Mitsurugi"". Les monstres contrôlés par votre adversaire perdent 800 ATK. Vous pouvez révéler cette carte dans votre main ; Invoquez Spécialement 1 monstre ""Malédiction de Diabell""""Mitsurugi no Mikoto, Aramasa""""Mitsurugi"" depuis votre Deck, puis Sacrifiez 1 monstre que vous contrôlez. Vous ne pouvez utiliser cet effet de ""Ame no Habakiri no Mitsurugi"" qu'une fois par Duel. Si cette carte est Sacrifiée : vous pouvez ajouter 1 carte ""Mitsurugi"" (""Ame no Habakiri no Mitsurugi"" exclu) depuis votre Deck à votre main, puis vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Ame no Habakiri no Mitsurugi"" qu'une fois par tour."
ALIN-FR093,ALIN-093,FR,Magie Rituel,Miroir Mitsurugi,,,,,,"Cette carte peut être utilisée pour Invoquer Rituellement un Monstre Rituel Reptile depuis votre main ou Cimetière. Vous devez aussi Sacrifier des monstres Reptile depuis votre main ou Terrain dont le Niveau total est supérieur ou égal au Niveau du Monstre Rituel. ""Regenèse""Si ""Ame no Murakumo no Mitsurugi"", ""Futsu no Mitama no Mitsurugi"" ou ""Ame no Habakiri no Mitsurugi"" que vous contrôlez est Sacrifié, tant que cette carte est dans votre Cimetière : vous pouvez mélanger cette carte dans le Deck. Vous ne pouvez utiliser chaque effet de ""Malédiction de Diabell""""Mitsurugi no Mikoto, Aramasa""""Miroir Mitsurugi"" qu'une fois par tour."
ALIN-FR094,ALIN-094,FR,Magie Jeu-Rapide,Magatama Mitsurugi,,,,,,"Durant la Main Phase : ""Malédiction de Diabell""""Mitsurugi no Mikoto, Aramasa""activez 1 de ces effets ; ●Sacrifiez 1 monstre Reptile, puis ciblez 1 carte face recto contrôlée par votre adversaire ; détruisez-la. ●Invoquez Rituellement 1 Monstre Rituel ""Mitsurugi"" depuis votre main, en Sacrifiant des monstres que vous contrôlez dont le Niveau total est supérieur ou égal à son Niveau. Vous ne pouvez activer qu'1 ""Magatama Mitsurugi"" par tour."
ALIN-FR095,ALIN-095,FR,Magie Continue,Limite Sacrée Mitsurugi,,,,,,"Votre adversaire ne peut pas cibler de Monstres Rituels ""Regenèse""""Mitsurugi"" que vous contrôlez avec les effets des monstres qui ont été Invoqués Spécialement depuis l'Extra Deck. Vous pouvez cibler 4 cartes ""Mitsurugi"" (""Limite Sacrée Mitsurugi"" exclu) dans votre Cimetière ; mélangez-les dans le Deck, puis si votre adversaire contrôle un monstre, faites-lui Sacrifier 1 monstre qu'il contrôle (son choix). Vous ne pouvez utiliser cet effet de ""Malédiction de Diabell""""Mitsurugi no Mikoto, Aramasa""""Limite Sacrée Mitsurugi"" qu'une fois par tour."
ALIN-FR096,ALIN-096,FR,Piège,Tempête Mitsurugi,,,,,,"Si vous avez une Magie Rituelle ""Mitsurugi"" dans votre Cimetière : ""Malédiction de Diabell""""Mitsurugi no Mikoto, Aramasa""Sacrifiez 3 monstres dont les noms d'origine sont ""Ame no Murakumo no Mitsurugi"", ""Futsu no Mitama no Mitsurugi"" et ""Ame no Habakiri no Mitsurugi"" ; faites bannir à votre adversaire exactement 8 cartes depuis sa main, Extra Deck, Terrain et/ou Cimetière. Vous ne pouvez activer qu'1 ""Tempête Mitsurugi"" par tour."
ALIN-FR097,ALIN-097,FR,Monstre Normal,Dipité,Lumière,Démon,,Normal,,"Une mignonne petite chose vivant dans une bouteille en verre et dont on dit qu'elle porte chance à celui qui passe un contrat avec elle. Cependant, quoi qu'il arrive, le bouchon ne doit jamais être ouvert..."
ALIN-FR098,ALIN-098,FR,Monstre à effet,Épieuvre de Maïs Géante,Terre,Plante,,Effet,,"Lorsqu'un monstre de l'adversaire déclare une attaque : vous pouvez Invoquer Spécialement cette carte depuis votre main en Position de Défense, et si vous le faites, transférez la cible de l'attaque sur cette carte et faites le calcul des dommages. Vous pouvez cibler 1 monstre Plante que vous contrôlez (""Épieuvre de Maïs Géante"" exclu) ; l'ATK du monstre et de cette carte devient la somme des ATK d'origine des deux monstres. Vous ne pouvez utiliser chaque effet de ""Épieuvre de Maïs Géante"" qu'une fois par tour."
ALIN-FR099,ALIN-099,FR,Monstre à effet,Zereort Migrateur,Eau,Bête-Ailée,,Effet,,"Si un Monstre Xyz EAU est sur le Terrain : vous pouvez Invoquer Spécialement cette carte depuis votre main. Durant votre Main Phase : vous pouvez détacher 1 Matériel d'un monstre que vous contrôlez, puis vous pouvez Invoquer Spécialement 1 monstre EAU de Niveau 3 ou 4 depuis votre main ou Cimetière, mais ses effets sont annulés, et aussi, il peut être traité comme monstre de Niveau 5 ce tour, s'il est utilisé pour l'Invocation Xyz d'un monstre EAU. Vous ne pouvez utiliser chaque effet de ""Zereort Migrateur"" qu'une fois par tour."
ALIN-FR100,ALIN-100,FR,Monstre à effet,Dragolithia Kunzite,Terre,Dragon,,Effet,,"Si cette carte est dans votre main : vous pouvez envoyer 1 Monstre Normal de min. Niveau 7 depuis votre main ou Deck au Cimetière, et si vous le faites, Invoquez Spécialement cette carte. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Monstre Normal dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense. Vous ne pouvez utiliser qu'1 effet de ""Dragolithia Kunzite"" par tour, et uniquement une fois le tour."
ALIN-FRSP1,ALIN-SP1,FR,monstre à effet,Archdémon de la Regenèse,Terre,Démon,,effet,,", , , ,"
ADC1-001,ADC1-001,EN,Monstre Normal,Magicien Sombre,Ténèbres,Magicien,,Normal,,Mage suprême en termes d'attaque et de défense.
